order_item_id,order_id,product_id,quantity,unit_price,discount_amount,updated_at
OI001,O001,P001,2,100.00,20.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI002,O001,P002,1,50.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI003,O002,P002,1,50.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI004,O002,P003,1,200.00,5.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI005,O003,P003,2,200.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI006,O003,P004,1,15.00,5.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI007,O004,P004,1,15.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI008,O004,P005,1,40.00,5.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI009,O005,P005,2,40.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI010,O005,P006,1,80.00,5.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI011,O006,P006,1,80.00,0.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI012,O006,P001,1,100.00,5.00,Thu Jan 01 2026 16:00:00 GMT+0700 (Indochina Time)
OI013,O007,P001,2,100.00,0.00,Sat Jan 03 2026 16:00:00 GMT+0700 (Indochina Time)
OI014,O007,P002,1,50.00,5.00,Sat Jan 03 2026 16:00:00 GMT+0700 (Indochina Time)
OI015,O008,P002,1,50.00,0.00,Sat Jan 03 2026 16:00:00 GMT+0700 (Indochina Time)
OI016,O008,P003,1,200.00,5.00,Sat Jan 03 2026 16:00:00 GMT+0700 (Indochina Time)
OI017,O009,P003,2,200.00,0.00,Wed Jan 07 2026 16:00:00 GMT+0700 (Indochina Time)
OI018,O009,P004,1,15.00,5.00,Wed Jan 07 2026 16:00:00 GMT+0700 (Indochina Time)
OI019,O010,P004,1,15.00,0.00,Wed Jan 07 2026 16:00:00 GMT+0700 (Indochina Time)
OI020,O010,P005,1,40.00,5.00,Wed Jan 07 2026 16:00:00 GMT+0700 (Indochina Time)
